,id,name,producer,nation,local1,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml,latitudine,longitudine,cec,cfvo,clay,nitrogen,phh2o,sand,silt,tempmax,tempmin,temp,dew,humidity,precip,windspeed,solarradiation,solarenergy,uvindex,score
49,150732,"La Massa, Giorgio Primo",La Massa,Italy,Toscana,Red,Table,,,1,3,5,4,300000,2012,750,43.54882699798048,11.287369783041678,294.0,95.0,319.0,464.0,71.0,336.0,344.0,26.7645,14.6505,20.7075,11.6785,60.8115,404.84,18.297000000000004,266.059,22.9785,8.02,4.3
50,150806,Argentiera Giorgio,Argentiera Tenuta Argentiera Poggio Argentiera,Italy,Toscana,Red,Table,15,16~18,1,4,5,5,0,2012,750,43.16562345787589,10.54172512207744,249.0,108.0,295.0,564.0,69.0,346.0,360.0,24.390500000000003,14.5365,19.639,14.3595,74.2085,221.59,23.121,274.1415,23.676,8.275,4.3
51,151019,Lamacia Rosso,Tenimenti Association,Italy,Friuli Venezia Giulia,Red,Table,12,15~17,2,3,3,3,25000,2010,750,45.41850010228157,11.241511455047506,267.0,133.0,264.0,614.0,69.0,302.0,434.0,24.8095,14.779000000000002,19.814,13.6515,72.4445,638.29,16.2925,240.0805,20.727,7.375,3.3
52,152416,"Ca'Lojera, Monte della Guardia Rosato",Ca Lojera,Italy,Lombardia,Rose,Table,13,12~14,1,3,3,1,0,2011,750,45.452386673570814,10.641535337856409,322.0,137.0,246.0,553.0,69.0,358.0,396.0,25.857,15.4075,20.6825,13.034,65.32,423.71,16.164,253.917,21.9245,7.685,3.9
53,152421,"Collazzi, Liberta",Collazzi,Italy,Toscana,Red,Table,14,16~18,1,3,3,3,0,2010,750,43.71823215299291,11.19752684135428,247.0,114.0,300.0,425.0,74.0,297.0,403.0,25.081,13.821000000000002,19.414,12.873,69.16850000000001,506.17,20.1215,258.431,22.306,7.78,3.6
54,152460,"Le Macchiole, Bolgheri Rosso",Le Macchiole,Italy,Toscana,Red,Table,14,16~18,1,3,4,3,0,2016,750,43.20347624443964,10.586409110316495,260.0,127.0,249.0,307.0,74.0,366.0,385.0,24.2755,15.169499999999998,19.869,14.5935,73.895,249.24,19.4305,275.157,23.7595,8.33,4.1
55,153341,Castellare Baffonero,Castellare di Castellina,Italy,Toscana,Red,Table,14~15,16~18,1,3,5,4,494000,2013,750,43.445987110714285,11.27937853016592,278.0,100.0,310.0,404.0,74.0,351.0,339.0,25.211,14.049,19.593,12.305500000000002,66.653,373.26,15.7185,257.26300000000003,22.201000000000004,7.87,3.3
56,153344,"Feudi Del Pisciotto, Valentino",Feudi del Pisciotto,Italy,Sicilia,Red,Table,14,16~18,1,3,4,3,66000,2015,750,37.11575677655343,14.411986110564785,222.0,117.0,359.0,230.0,76.0,258.0,382.0,25.268500000000003,15.704,20.8655,13.990500000000004,66.88950000000001,213.68,19.575,283.3885,24.465,8.755,3.9
57,154047,"Cantina Colli Euganei, MotoRosso",Cantina Colli Euganei,Italy,Veneto,Red,Table,12.5,16~18,1,3,3,3,0,2012,750,45.302574,11.763046,330.0,132.0,434.0,540.0,69.0,148.0,418.0,25.7525,15.932000000000002,20.710500000000003,14.268,69.54350000000001,393.75,12.802,253.4485,21.8825,7.635,3.3
58,156938,"Sassoregale, Merlot",Sassoregale Tenuta Sassoregale,Italy,Toscana,Red,Table,,,1,3,4,3,0,2011,750,43.60827611440235,11.303777155034409,271.0,120.0,340.0,380.0,75.0,248.0,412.0,26.862,14.605,20.671,11.8715,60.976000000000006,268.89,18.56,270.4355,23.359000000000005,8.195,3.1
