,Unnamed: 0,id,name,producer,nation,local1,local2,local3,local4,varieties1,varieties2,varieties3,varieties4,varieties5,varieties6,varieties7,varieties8,varieties9,varieties10,varieties11,varieties12,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml,latitudine,longitudine,cec,cfvo,clay,nitrogen,phh2o,sand,silt
5989,5989,147357,"Poli, Sarpa di Poli Mignon",Poli,Italy,Veneto,,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Hard,Dessert,40,12~14,SWEET1,ACIDITY1,BODY5,TANNIN1,0,0,0,46.0787914,10.9994069,,,,,,,
5990,5990,147358,"Poli, Sarpa di Poli Hip bottle",Poli,Italy,Veneto,,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Hard,Etc,40,12~14,SWEET1,ACIDITY1,BODY5,TANNIN1,0,0,750,46.0787914,10.9994069,,,,,,,
6186,6186,147583,"Col d'Orcia, Nearco Sant' Antimo",Col dOrcia,Italy,Toscana,Montalcino,,,Merlot,Cabernet Sauvignon,Syrah & Shiraz,,,,,,,,,,Red,Table,14~15,15~17,SWEET1,ACIDITY3,BODY5,TANNIN4,0,2015,750,42.96724163589759,11.437818726116115,,,,,,,
6193,6193,147593,"Sette Ponti, Oreno",Tenuta Sette Ponti,Italy,Toscana,,,,Merlot,Cabernet Sauvignon,Sangiovese,,,,,,,,,,Red,Table,14.5,15~17,SWEET1,ACIDITY3,BODY5,TANNIN4,210000,2017,750,43.5513894,11.7028581,,,,,,,
6235,6235,147651,"Fornacelle, Guarda Boschi",Fornacelle,Italy,Toscana,Bolgheri,,,Merlot,Cabernet Franc,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,0,2007,750,43.17627333876615,10.595199351260263,,,,,,,
7016,7016,148626,Tesco Merlot,Tesco Group Tesco Simply Wine,Italy,Veneto,,,,Merlot,,,,,,,,,,,,Red,Table,12,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,9900,2009,750,45.4161274075042,11.244136988465359,,,,,,,
8085,8085,149825,Prima Pietra,Riparbella,Italy,Toscana,,,,Merlot,Cabernet Sauvignon,Cabernet Franc,Petit Verdot,,,,,,,,,Red,Table,14.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,380000,2007,750,43.365522716449306,10.623234599415987,,,,,,,
8087,8087,149827,Dainero,Riparbella,Italy,Toscana,,,,Merlot,Sangiovese,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,100000,2008,750,43.365522716449306,10.623234599415987,,,,,,,
8709,8709,150532,"Bastianich, Vespa Rosso",Bastianich,Italy,Friuli Venezia Giulia,,,,Merlot,Refosco,Cabernet Sauvignon,Cabernet Franc,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,140000,2008,750,46.07571290833998,13.448091824388559,,,,,,,
8749,8749,150578,"Duemani, Altrovino",Duemani,Italy,Toscana,Montalcino,,,Merlot,Cabernet Franc,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2016,750,43.36527052222222,10.593618455555555,,,,,,,
8808,8808,150654,"Bollini, Merlot ",Empson Neil  Maria Empson,Italy,TrentinoAlto Adige,,,,Merlot,,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2013,750,46.322005262987936,11.28803473547304,,,,,,,
8812,8812,150659,"Cantina Colli Euganei, Notte di Galileo Riserva ",Cantina Colli Euganei,Italy,Veneto,Colli Euganei,,,Merlot,Cabernet Sauvignon,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY3,TANNIN1,100000,2016,750,45.30257394914711,11.763046291050657,,,,,,,
8883,8883,150732,"La Massa, Giorgio Primo",La Massa,Italy,Toscana,,,,Merlot,Cabernet Sauvignon,Petit Verdot,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY5,TANNIN4,300000,2012,750,43.54882699798048,11.287369783041678,,,,,,,
8937,8937,150806,Argentiera Giorgio,Argentiera Tenuta Argentiera Poggio Argentiera,Italy,Toscana,Bolgheri,,,Merlot,,,,,,,,,,,,Red,Table,15,16~18,SWEET1,ACIDITY4,BODY5,TANNIN5,0,2012,750,43.16562345787589,10.541725122077441,,,,,,,
9056,9056,150947,Ter Vinum Rosso,Foffani,Italy,Friuli Venezia Giulia,,,,Merlot,Refosco dal Peduncolo,Cabernet Sauvignon,,,,,,,,,,Red,Table,12.5,15~17,SWEET1,ACIDITY3,BODY3,TANNIN3,37000,2006,750,45.9434149,13.3406411,,,,,,,
9057,9057,150948,Ter Vinum Merlot Bianco,Foffani,Italy,Friuli Venezia Giulia,,,,Merlot,,,,,,,,,,,,White,Table,13,10~12,SWEET2,ACIDITY3,BODY2,TANNIN1,37000,2013,750,45.9434149,13.3406411,,,,,,,
