"","id","name","producer","nation","abv","degree","sweet","acidity","body","tannin","price","year","ml","latitudine","longitudine","cec","cfvo","clay","nitrogen","phh2o","sand","silt","tempmax","tempmin","temp","dew","humidity","precip","windspeed","solarradiation","solarenergy","uvindex","score","local1_Cat","type_Hard","type_Red","type_Rose","type_Sparkling","type_White","use_Appetizer..Table","use_Etc","use_Table"
"76",163511,"Le Monde, Friuli Merlot","Le Monde","Italy",13,0,1,3,3,3,NA,2017,750,45.8605862104189,12.5540673702156,319,104,395,672,74,107,499,24.591,15.087,19.868,14.2685,72.3495,730.53,14.0115,242.29,20.9225,7.45,3.5,6,0,1,0,0,0,0,0,1
"77",163550,"Orma Rosso Super Tuscan","Orma","Italy",14.5,16,1,3,4,4,NA,2016,750,43.1655109315899,10.6093907663854,250,122,257,352,74,379,364,24.2995,15.206,19.915,14.609,73.716,227.82,19.5275,275.157,23.7595,8.33,3.6,12,0,1,0,0,0,0,0,1
"78",163551,"Passi di Orma the Second","Orma","Italy",14.5,16,1,3,4,4,NA,2017,750,43.1655109315899,10.6093907663854,250,122,257,352,74,379,364,24.854,14.9385,20.0845,14.008,70.7345,186.98,19.2895,282.035,24.348,8.415,4.1,12,0,1,0,0,0,0,0,1
"79",163579,"San Felice, Bell'Aja","San Felice","Italy",13.5,17,1,3,3,3,NA,2017,750,43.350811496875,11.4679024845591,279,97,377,538,71,272,351,26.776,13.976,20.4305,12.444,63.8915,266.21,15.2685,278.5685,24.0485,8.395,3.8,12,0,1,0,0,0,0,0,1
"80",163590,"Tenuta di Arceno Arcanum, Valadorna","Tenuta di Arceno","Italy",14.5,17,1,3,4,4,280000,2013,750,43.3803077769708,11.5118516682492,307,85,331,544,70,282,387,25.115,13.328,19.185,11.6095,66.0685,416.24,16.0535,257.263,22.201,7.87,4.1,12,0,1,0,0,0,0,0,1
"81",163609,"Valori, Inkiostro","Valori","Italy",14.5,0,1,3,3,3,NA,2015,750,42.7878564000066,13.8270798817142,253,114,357,273,78,148,495,23.3415,13.306,18.6875,11.777,66.1855,28.79,19.6795,259.761,22.4205,7.98,3.6,0,0,1,0,0,0,0,0,1
"82",163758,"Cecchi, La Mora Merlot di Toscana","Cecchi","Italy",13.5,16,1,4,3,3,NA,2016,750,46.1377869,13.3375898,339,167,220,512,65,374,406,19.2639,8.5085,13.7585,8.5374,72.7354,840.9,17.3175,235.072,20.2929,7.11,3.4,12,0,1,0,0,0,0,0,1
"83",163763,"Monte guelfo, I Merli","Cecchi","Italy",13.5,16,1,2,3,3,NA,2018,750,46.1377869,13.3375898,339,167,220,512,65,374,406,20.2654,10.3219,14.924,9.6615,72.9994,600.72,15.8814,213.9605,18.473,7.51,3.3,12,0,1,0,0,0,0,0,1
"84",164309,"BrandLand SRL, Chiorri Selezione Merlot Colli Perugini","SRL BrandLand SRL","Italy",14.5,0,1,3,4,3,NA,2015,750,43.0026071026011,12.3565935846547,269,97,338,278,76,229,433,26.256,13.3395,19.638,10.532,59.7625,424.37,21.962,261.8495,22.6115,8.025,3.5,14,0,1,0,0,0,0,0,1
"85",164359,"Piera Martellozzo, Terre Magre Merlot Friuli","1899 Piera Martellozzo 1899","Italy",14,0,1,3,3,3,NA,2016,750,46.0090688325571,12.6517722729099,319,122,195,604,67,334,471,24.054,14.6929,19.364,13.9635,72.9849,785.55,15.946,231.6074,19.9945,7.09,4,6,0,1,0,0,0,0,0,1
