,Unnamed: 0,id,name,producer,nation,local1,local2,local3,local4,varieties1,varieties2,varieties3,varieties4,varieties5,varieties6,varieties7,varieties8,varieties9,varieties10,varieties11,varieties12,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml,latitudine,longitudine,cec,cfvo,clay,nitrogen,phh2o,sand,silt
10099,10099,152460,"Le Macchiole, Bolgheri Rosso",Le Macchiole,Italy,Toscana,Bolgheri,,,Merlot,Cabernet Franc,Cabernet Sauvignon,Syrah & Shiraz,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2016,750,43.203476244439635,10.586409110316497,260.0,127.0,249.0,307.0,74.0,366.0,385.0
10560,10560,153341,Castellare Baffonero,Castellare di Castellina,Italy,Toscana,,,,Merlot,,,,,,,,,,,,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY5,TANNIN4,494000,2013,750,43.445987110714285,11.27937853016592,278.0,100.0,310.0,404.0,74.0,351.0,339.0
10563,10563,153344,"Feudi Del Pisciotto, Valentino",Feudi del Pisciotto,Italy,Sicilia,,,,Merlot,,,,,,,,,,,,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,66000,2015,750,37.11575677655343,14.411986110564785,222.0,117.0,359.0,230.0,76.0,258.0,382.0
11033,11033,154047,"Cantina Colli Euganei, MotoRosso",Cantina Colli Euganei,Italy,Veneto,,,,Merlot,Cabernet Sauvignon,Sangiovese,,,,,,,,,,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,0,2012,750,45.302574,11.763046,330.0,132.0,434.0,540.0,69.0,148.0,418.0
12664,12664,156938,"Sassoregale, Merlot",Sassoregale Tenuta Sassoregale,Italy,Toscana,Maremma,,,Merlot,,,,,,,,,,,,Red,Table,,,SWEET1,ACIDITY3,BODY4,TANNIN3,0,2011,750,43.60827611440235,11.303777155034407,271.0,120.0,340.0,380.0,75.0,248.0,412.0
12671,12671,156952,"Donnafugata, Angheli",Donnafugata,Italy,Sicilia,,,,Merlot,Nero d'Avola,,,,,,,,,,,Red,Table,13,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,79000,2016,750,37.79586601848224,12.465858454596376,201.0,116.0,377.0,212.0,72.0,250.0,373.0
12740,12740,157075,"Feudi, di San Gregorio Patrimo",Feudi Feudi di San Gregorio,Italy,Campania,,,,Merlot,,,,,,,,,,,,Red,Table,14,10~12,SWEET1,ACIDITY3,BODY4,TANNIN3,450000,2013,750,40.9111903792142,14.867403737682805,260.0,133.0,312.0,379.0,73.0,304.0,384.0
12964,12964,157662,Ornellaia Le Serre Nuove,Ornellaia,Italy,Toscana,Bolgheri,,,Merlot,Cabernet Sauvignon,Petit Verdot,Cabernet Franc,,,,,,,,,Red,Table,14.5,15~17,SWEET1,ACIDITY4,BODY3,TANNIN3,165000,2012,750,43.2340065,10.6179334,233.0,102.0,293.0,365.0,75.0,356.0,352.0
13232,13232,158340,"Feudi del Pisciotto, Baglio Syrah Merlot",Feudi del Pisciotto,Italy,Sicilia,,,,Merlot,Syrah & Shiraz,,,,,,,,,,,Red,Table,13.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,55000,2014,750,37.115731110448216,14.411943195222069,222.0,117.0,359.0,230.0,76.0,258.0,382.0
13825,13825,159284,"La Tordera, Gabry Rose Spumante",La Tordera,Italy,Veneto,,,,Merlot,Incrocio Manzoni,,,,,,,,,,,Sparkling,Table,12,6~8,SWEET1,ACIDITY3,BODY3,TANNIN1,58000,0,750,45.8616409,12.0387488,270.0,158.0,289.0,625.0,66.0,291.0,420.0
